vax05_pos_metabo_feature	mz	rtime	mz.min	mz.max	ave_CV
row1_85.0402_51	85.0401999641769	51.5411963753478	85.0401263183777	85.0403234781323	0.350770829732
row2_85.0654_82	85.06537390787	82.9503803105963	85.064796087898	85.06656521519	0.265167997085
row3_85.0653_321	85.0653087111758	321.298428008454	85.064787106138	85.0655033259285	0.511018616429
row4_85.0766_39	85.0766119323385	39.849172183122	85.07607593155	85.0778727599378	0.258948395726
row5_85.0766_557	85.0766140628345	557.783235166433	85.0762632717058	85.0768467393124	0.556284065721
row6_85.1015_35	85.1014643777097	35.6049384899195	85.0985822356183	85.1019451446901	0.149411176179
row7_85.1016_594	85.1015996164512	594.949753105597	85.0986384513339	85.1018680658783	0.539086863634
row8_85.5743_124	85.5742653138534	124.647542370899	85.5735430206906	85.5757477555877	0.262218285029
row9_86.0606_271	86.0606333060672	271.168630087794	86.0603638934851	86.0627015888259	0.67365579018
row10_86.097_82	86.096984728739	82.2885657307135	86.0967751685239	86.0980879222854	0.115008141588
row11_86.097_493	86.0969914267352	493.677278270134	86.0968095435746	86.0971851103009	0.183223566715
row12_87.094_70	87.0939946011629	70.1977596088911	87.0922612493842	87.095118839879	0.35237268522
row13_87.1004_483	87.1003512908911	483.830570017922	87.1001492619801	87.1005472348266	0.323598007517
row14_88.0221_477	88.0220919117107	477.485538082598	88.0219354882914	88.0227401969387	0.692525878607
row15_88.0853_497	88.0853092326817	497.981487735164	88.0817487999998	88.0882173182115	0.511938704677
row16_88.1126_463	88.1126380275188	463.52975863013	88.1124351825369	88.113230129974	0.932590694195
row17_88.5095_470	88.5094804768827	470.708524006296	88.5091840891547	88.5103664783654	0.621090505699
row18_89.0013_39	89.0013074325886	39.9703602142705	89.0002781842444	89.0030872640579	0.313630572938
row19_89.0717_453	89.07168833087	453.365999138948	89.0712377962827	89.0737690804364	0.74907387385
row20_89.0796_244	89.0795970053814	244.248443920001	89.0793808436392	89.080244676202	1.32360394454
row21_89.1159_46	89.1159320091114	46.3087784638481	89.1158159538694	89.1162077096816	0.438836124223
row22_89.5071_119	89.5070646331504	119.719958669884	89.5068237861916	89.5083014083449	0.283051659495
row23_89.5071_465	89.5070921178135	465.412416015767	89.5068961200815	89.5073256418344	0.383245097143
row24_90.0088_469	90.0087580082143	469.055555029666	90.0071873122231	90.0093778877762	0.543514195165
row25_90.0555_91	90.0554880798649	91.173860336387	90.0553229615721	90.0562986471754	0.0947134555794
row26_90.5264_433	90.5263654495006	433.522196879286	90.5262929431983	90.5265383310656	0.34793243413
row27_90.9689_65	90.9688733394351	65.7635502589786	90.964661415841	90.9711564804854	0.469502157802
row28_90.9771_68	90.9771449071343	68.0217895262561	90.9770264947608	90.9785680416901	0.0732944887184
row29_90.9771_573	90.9771206332741	573.589648972864	90.9770812016454	90.9771721063802	0.321464861326
row30_91.0588_85	91.0588388639791	85.7051207607773	91.0581776001261	91.0595708790925	0.190438167725
row31_91.5429_120	91.542900734103	120.97568469926	91.5427132192617	91.5431128210945	0.691378075904
row32_91.9805_68	91.9804567083958	68.4912633754389	91.9802716510071	91.981808666687	0.159681674443
row33_92.0844_126	92.0844073045884	126.63527712254	92.0838201823266	92.086054902689	0.404720796737
row34_92.9814_65	92.9813896018808	65.758806655171	92.9805384973426	92.9828204549116	0.417690302349
row35_94.0355_121	94.0355077882399	121.847253453517	94.0295310004969	94.0393489076222	0.455149122837
row36_94.0456_125	94.045563649039	125.341762958376	94.0453681447376	94.0461980665883	0.215605356826
row37_94.0456_495	94.0455776291509	495.198533641966	94.0454291186475	94.0456263907789	0.0774754736651
row38_94.0546_125	94.0545648149438	125.893212111028	94.0518685523651	94.0591365688274	0.578161044983
row39_94.546_125	94.5459914831564	125.984769091867	94.5457201029229	94.5474109622287	0.335320797108
row40_94.546_467	94.5460042961203	467.652635820444	94.5457763766699	94.5473175915429	0.280083818347
row41_94.5738_126	94.573812038631	126.256246284589	94.573639981265	94.5753983962788	0.16095110289
row42_95.0245_72	95.024497228534	72.3404891846049	95.024072178898	95.0263007906992	0.624317151131
row43_95.0245_556	95.0244985172347	556.206711605633	95.0242776502292	95.0253728963053	0.188484598418
row44_95.0443_124	95.0443227658942	124.235352076938	95.0440928362748	95.0456198444436	0.268496073393
row45_95.0444_471	95.0443529112242	471.511895729322	95.0442348390449	95.0445348055117	0.192767796392
row46_95.0477_136	95.047746487962	136.129544011908	95.0472866644652	95.0498343361461	0.262121578748
row47_95.061_544	95.0609730656423	544.091865763258	95.0608179703231	95.0614577514347	0.0451285058978
row48_95.0689_73	95.0689368252979	73.4024726243402	95.0686695662361	95.0695380676217	0.936469191306
row49_95.086_11	95.0859921015665	11.5803300651751	95.0857989460496	95.086316423589	0.371538739824
row50_95.5428_121	95.5427691540483	121.831661403119	95.5418898021575	95.5434389235334	0.475134467874
row51_95.546_121	95.5460050342721	121.93520671061	95.5458543551017	95.5476233704048	0.239595662232
row52_95.5461_493	95.5460646713214	493.848566218042	95.5459190158826	95.5461663627281	0.364689819855
row53_96.0449_245	96.0448897977899	245.079123318215	96.0446489499511	96.0456492370279	0.897704370315
row54_96.9223_107	96.9222793031859	107.446062317814	96.9220091899551	96.9243568268537	0.123088333558
row55_96.9607_28	96.9606751010229	28.642910994201	96.9595759488557	96.9609993331447	0.270930836179
row56_97.0401_459	97.0401326880213	459.074896476587	97.0398379076036	97.0411411510512	0.877542747338
row57_97.9689_39	97.9689273353203	39.7852565248445	97.9687001117644	97.9691999581333	0.209388654126
